"Quadrant","FID_","Tree_ID","Latitude","Longitude","Germ_Year","Cohort","Age_2013","GNSS_Ht","Numer_Orde","Z","Y","X","Tree.ID","Height_Tree..cm."
7,751,"656",38.860709,-105.091257,1982,"1975-1999",30.5685,3614.284,684,3614.35856,4301323.458,492082.4272,"656","30"
7,1107,"991",38.86076,-105.091599,1977,"1975-1999",35.2675,3605.251,1041,3605.327569,4301329.147,492052.7606,"991","99"
7,731,"638",38.860437,-105.091472,1978,"1975-1999",34.3277,3616.86,664,3616.752448,4301293.293,492063.7433,"638","55"
7,1090,"975",38.860818,-105.091397,1950,"1950-1974",62.5197,0,1024,3608.005888,4301335.565,492070.2928,"975","220"
7,1113,"997",38.860803,-105.091539,1976,"1975-1999",36.2073,3605.051,1047,3605.087799,4301333.913,492057.971,"997","82"
7,1031,"917",38.86079,-105.091386,1976,"1975-1999",36.2073,3609.012,965,3609.668056,4301332.457,492071.244,"917","120"
7,1130,"1015",38.860903,-105.091365,1955,"1950-1974",57.4741,3606.581,1064,3606.806958,4301344.995,492073.0786,"1015","320"
7,1010,"898",38.860771,-105.091314,1975,"1975-1999",37.1471,3610.411,944,3610.694356,4301330.343,492077.4887,"898","17"
7,1009,"897",38.860774,-105.091324,1979,"1975-1999",33.6821,3611.459,943,3611.314473,4301330.677,492076.6214,"897","180"
7,859,"753",38.86064,-105.091511,1953,"1950-1974",59.1493,3607.642,792,3608.4998,4301315.823,492060.3822,"753","350"
7,955,"847",38.860647,-105.091724,1962,"1950-1974",50.7989,3602.649,889,3602.628729,4301316.618,492041.9028,"847","100"
7,619,"528",38.86053,-105.091195,1978,"1975-1999",34.6821,3621.497,552,3621.442958,4301303.589,492087.7866,"528","83"
7,15,"M14",38.860646,-105.091469,1869,"1850-1874",143.6621,3612.556,1119,3612.451179,4301316.485,492064.0268,"M14","820"
7,38,"M32",38.860467,-105.091605,1795,"Before1800",217.7333,0,1142,3610.741571,4301296.634,492052.2074,"M32","800"
7,733,"640",38.860409,-105.091498,1972,"1950-1974",40.9063,3616.824,666,3616.755602,4301290.188,492061.4844,"640","83"
7,1062,"948",38.860766,-105.091493,1958,"1950-1974",54.0325,3608.071,996,3607.900201,4301329.803,492061.9579,"948","161"
7,746,"653.1",38.86069,-105.091269,1897,"1875-1899",115.1493,3614.672,679,3614.774975,4301321.35,492081.384,"653.1","500"
7,645,"552",38.8607,-105.091107,1911,"1900-1924",101.3573,3621.896,578,3621.73,4301322.446,492095.4404,"552",""
7,993,"884-a",38.860709,-105.091542,1903,"1900-1924",109.2661,3606.823,927,3606.920457,4301323.482,492057.7003,"884A","720"
7,1072,"957",38.860807,-105.091411,1955,"1950-1974",57.3573,3608.946,1006,3608.909242,4301334.346,492069.0769,"957","162"
7,778,"683",38.860714,-105.09131,1912,"1900-1924",100.1493,3609.801,711,3610.849997,4301324.017,492077.8294,"683","600"
7,1131,"1016",38.860893,-105.091348,1977,"1975-1999",35.2675,3609.123,1065,3609.089735,4301343.884,492074.5524,"1016","98"
7,944,"836",38.860613,-105.09175,1996,"1975-1999",16.4715,3604.952,878,3604.668753,4301312.848,492039.6432,"836","27.5"
7,875,"767",38.860622,-105.091612,1949,"1925-1949",63.4741,3603.532,808,3604.102464,4301313.834,492051.6173,"767",""
7,736,"643",38.860432,-105.091512,1855,"1850-1874",157.3653,3615.093,669,3615.23539,4301292.742,492060.2723,"643","550"
7,689,"596",38.860506,-105.091344,1973,"1950-1974",39.5653,3616.019,622,3616.432027,4301300.939,492074.8565,"596","62"
7,942,"834.2",38.860614,-105.091729,1989,"1975-1999",23.0501,3602.954,876,3603.069391,4301312.957,492041.4653,"834.2","16.5"
7,826,"726-d",38.860518,-105.091611,1908,"1900-1924",104.5653,3608.988,759,3609.123214,4301302.294,492051.6925,"726c",""
7,58,"S20",38.860688,-105.091143,1994,"1975-1999",18.3511,3618.49,1162,3618.750576,4301321.118,492092.3157,"S20","12"
7,837,"734",38.860569,-105.09159,2004,"2000-2004",8.0133,3607.334,770,3607.455827,4301307.951,492053.5201,"734","19"
7,608,"518",38.860468,-105.091278,1998,"1975-1999",14.5919,3619.8,541,3619.690689,4301296.716,492080.5785,"518","12"
7,740,"647",38.860668,-105.091315,1995,"1975-1999",17.4113,3615.935,673,3614.750529,4301318.913,492077.3905,"647","13.5"
7,729,"636",38.860486,-105.091407,1990,"1975-1999",22.1103,3615.224,662,3615.380314,4301298.725,492069.3883,"636","14"
7,773,"678",38.860741,-105.091299,1977,"1975-1999",35.2675,3611.109,706,3611.369815,4301327.012,492078.7868,"678","59"
7,1075,"960",38.860825,-105.091346,1991,"1975-1999",21.1705,3608.461,1009,3608.990797,4301336.338,492074.7184,"960","31"
